"Health and social care > NHS hospital activity > NHS activity and capacity during the coronavirus (COVID-19) pandemic > NHS hospitalisations by date and local health board"
"NHS hospitalisations by date and local health board"

Filters:
Hospital type: All NHS hospitals
Indicator: All hospitalisations

"","Wales ","","","","","","","","Wales "
"23-Apr 2021 ",1711,170,943,1146,1177,1377,1394,7,7925
"24-Apr 2021 ",1719,173,940,1138,1174,1317,1309,16,7786
"25-Apr 2021 ",1690,175,939,1107,1186,1331,1309,15,7752
"26-Apr 2021 ",1741,177,960,1160,1237,1367,1376,15,8033
"27-Apr 2021 ",1760,174,939,1179,1225,1368,1392,13,8050
"28-Apr 2021 ",1760,177,955,1158,1230,1392,1405,18,8095
"29-Apr 2021 ",1766,173,954,1170,1214,1395,1403,15,8090
"30-Apr 2021 ",1778,178,952,1181,1208,1352,1387,16,8052
"01-May 2021 ",1791,175,944,1132,1221,1300,1311,10,7884
"02-May 2021 ",1767,173,955,1099,1176,1322,1299,9,7800
"03-May 2021 ",1756,173,972,1132,1184,1335,1308,9,7869
"04-May 2021 ",1789,177,986,1159,1232,1377,1375,13,8108
"05-May 2021 ",1821,175,974,1194,1239,1400,1356,17,8176
"06-May 2021 ",1818,171,954,1186,1228,1377,1383,16,8133
"07-May 2021 ",1787,174,973,1182,1230,1390,1371,20,8127
"08-May 2021 (5)",1779,176,951,1156,1239,1326,1317,16,7960
"09-May 2021 ",1788,175,955,1132,1216,1300,1315,15,7896
"10-May 2021 (5)",1810,172,975,1163,1253,1339,1402,17,8131
"11-May 2021 ",1817,171,964,1199,1254,1345,1418,17,8185
"12-May 2021 ",1835,172,957,1197,1260,1379,1426,22,8248
"13-May 2021 ",1790,174,980,1197,1256,1358,1410,16,8181
"14-May 2021 ",1851,171,985,1204,1251,1381,1386,19,8248
"15-May 2021 ",1847,172,995,1159,1243,1346,1326,20,8108
"16-May 2021 ",1835,170,1008,1168,1263,1357,1320,17,8138
"17-May 2021 ",1833,170,1007,1177,1265,1385,1381,20,8238
"18-May 2021 ",1848,167,1000,1176,1271,1395,1377,21,8255
"19-May 2021 ",1836,168,986,1183,1270,1418,1393,19,8273
"20-May 2021 ",1826,170,974,1197,1270,1410,1412,21,8280
"21-May 2021 ",1821,166,965,1186,1255,1392,1403,18,8206
"22-May 2021 ",1790,170,974,1157,1222,1317,1340,17,7987
"23-May 2021 ",1774,174,966,1155,1197,1299,1326,17,7908
"24-May 2021 ",1807,173,972,1185,1276,1385,1409,21,8228
"25-May 2021 ",1790,173,980,1189,1261,1347,1391,21,8152
"26-May 2021 ",1787,171,976,1200,1258,1357,1416,17,8182
"27-May 2021 ",1775,171,974,1181,1253,1341,1432,13,8140
"28-May 2021 ",1758,172,977,1167,1257,1330,1419,16,8096
"29-May 2021 ",1685,177,955,1153,1225,1263,1324,17,7799
"30-May 2021 ",1727,176,949,1152,1232,1279,1329,15,7859
"31-May 2021 ",1725,175,952,1179,1239,1301,1331,14,7916
"01-Jun 2021 ",1762,172,971,1194,1278,1406,1398,14,8195
"02-Jun 2021 (16)",1778,171,993,1188,1272,1404,1402,15,8223
"03-Jun 2021 (16)",1780,173,989,1211,1261,1377,1421,17,8229
"04-Jun 2021 (16)",1781,173,999,1209,1237,1390,1396,18,8203
"05-Jun 2021 (16)",1761,177,971,1165,1193,1338,1341,18,7964
"06-Jun 2021 (16)",1767,178,962,1165,1188,1351,1349,16,7976
"07-Jun 2021 (16)",1759,179,972,1203,1243,1427,1429,18,8230
"08-Jun 2021 (16)",1764,178,979,1204,1252,1391,1430,19,8217
"09-Jun 2021 (17)",1734,179,986,1192,1238,1391,1391,20,8131
"10-Jun 2021 ",1769,177,976,1196,1224,1385,1429,20,8176
"11-Jun 2021 ",1785,175,988,1182,1209,1364,1445,20,8168
"12-Jun 2021 ",1720,179,947,1190,1202,1345,1363,19,7965
"13-Jun 2021 ",1749,179,958,1149,1198,1368,1360,19,7980
"14-Jun 2021 ",1783,177,983,1205,1244,1409,1437,20,8258
"15-Jun 2021 ",1780,172,990,1213,1231,1395,1443,19,8243
"16-Jun 2021 ",1763,172,995,1211,1249,1380,1438,21,8229
"17-Jun 2021 ",1767,174,987,1209,1237,1383,1441,21,8219
"18-Jun 2021 ",1773,171,989,1166,1237,1388,1430,19,8173
"19-Jun 2021 ",1724,175,987,1153,1206,1329,1395,20,7989
"20-Jun 2021 ",1734,176,984,1160,1217,1318,1369,18,7976
"21-Jun 2021 ",1770,181,995,1174,1232,1355,1437,20,8164
"22-Jun 2021 ",1744,173,1000,1206,1254,1362,1446,22,8207
"23-Jun 2021 ",1771,175,997,1197,1235,1366,1443,22,8206
"24-Jun 2021 ",1806,176,995,1170,1229,1372,1461,22,8231
"25-Jun 2021 ",1761,175,990,1179,1232,1360,1438,18,8153
"26-Jun 2021 ",1760,173,965,1148,1214,1329,1409,19,8017
"27-Jun 2021 ",1762,172,979,1152,1245,1331,1395,17,8053
"28-Jun 2021 ",1769,168,985,1169,1265,1361,1438,11,8166
"29-Jun 2021 ",1799,167,999,1184,1269,1392,1435,15,8260
"30-Jun 2021 ",1791,168,1000,1176,1266,1376,1451,19,8247
"01-Jul 2021 ",1775,168,1001,1180,1254,1369,1453,15,8215
"02-Jul 2021 ",1763,168,993,1197,1264,1398,1452,20,8255
"03-Jul 2021 ",1707,168,978,1186,1248,1308,1391,21,8007
"04-Jul 2021 ",1745,170,974,1189,1268,1346,1379,20,8091
"05-Jul 2021 ",1783,170,1005,1179,1284,1375,1451,20,8267
"06-Jul 2021 ",1761,173,987,1173,1275,1409,1468,19,8265
"07-Jul 2021 ",1770,173,991,1185,1261,1405,1466,20,8271
"08-Jul 2021 ",1771,173,976,1183,1258,1418,1437,13,8229
"09-Jul 2021 ",1764,172,982,1200,1242,1432,1443,18,8253
"10-Jul 2021 ",1756,174,948,1165,1244,1364,1393,18,8062
"11-Jul 2021 ",1775,173,969,1166,1264,1360,1384,15,8106
"12-Jul 2021 ",1787,170,997,1169,1271,1385,1431,16,8226
"13-Jul 2021 (18)",1781,170,988,1163,1264,1414,1468,19,8267



Footnotes:
"1","Field hospitals included from 20 April 2020."
"2","Community hospitals included from 23 April 2020."
"3","From 26 May 2020, a new category for recovering COVID-19 patients was introduced. Please see statistical quality section for more information."
"4","From June 2020, hospitals have begun to close some of the surge capacity that had been established to increase the number of patients due to the COVID-19 pandemic."
"5","We are aware that the sum of the columns do not match the total and we are looking into it."
"6","On reporting recovering patients, Aneurin Bevan started reporting recovering patients from 7 June 2020, but these were captured in the confirmed COVID-19 category before."
"7","From 29 June 2020, the guidance changed to explicitly ask health boards to exclude transfers between acute and community hospitals from admissions figures."
"8","Mental health units included from 10 July 2020. Prior to this, some mental health beds may have been included under acute hospitals."
"9","From 19 October, data for specialist critical care beds (such as those in Burns and Plastic in Morriston) and other specialist acute beds (such as maternity) across other acute sites have been included."
"10","From 13 November 2020, only critical care beds that could be staffed were included as available. Previously all critical care beds had been included regardless of whether they could be staffed."
"11","From 16 November 2020, data is included from Grange University Hospital in Aneurin Bevan University Health board. This increased the total number of beds available by around 450 beds."
"12","From 18 January 2021, no patients occupying an invasive ventilated bed (critical care bed) should be counted as 'recovering' COVID-19 patients as they are still requiring a high level of care. Any patient previously reported as 'recovering' are now counted under 'confirmed'. This resulted in an increase in the number of invasive ventilated beds occupied by 'confirmed' COVID-19 patients (an increase of around 14 patients at the point of implementation) and no invasive ventilated beds showing as occupied by 'recovering' patients. This change had no impact on the total number of COVID-19 related patients"
"13","From 1 February 2021, guidance was reiterated to health boards that patients who were already in hospital and contracted COVID-19, but have now recovered and are back on their original setting, should be reported as non-COVID-19."
"14","From 8 March 2021, Cardiff and Vale University health board aligned their data more closely to the national guidance for SITREP reporting."
"15","To ensure accurate and consistent reporting of COVID-19 recovering patients in the hospitalisations data, all health boards were reminded to follow the national guidance for SITREP reporting, and asked to ensure any necessary changes to their daily reporting were implemented by 12 April 2021. Contrary to the guidance, some health boards were counting long stay patients who had fully recovered from COVID-19 in the COVID-19 recovering category, rather than the non-COVID-19 category, which inflated the number of COVID-19 recovering patients."
"16","Cardiff and Vale health board experienced a data processing issue regarding the number of suspected and confirmed COVID-19 patients."
"17","Cardiff and Vale resolved this issue, which has resulted in an additional 7 patients reported as confirmed today."
"18","Please note that BCU YGC were unable to supply data on the number of patients admitted to hospital for 13 July 2021 due to a data processing issue. The data for 13 July 2021 will be revised as soon as possible."
"19","Data for the LHB is only available from 23 April when community hospitals were included as it does not have acute hospitals."
"20","The LHB started reporting recovering patients from 7 June, but these were captured in the confirmed COVID-19 category before."
"21","The LHB classified recovering patients as non-COVID-19 patients between 1 May and 22 May. Following the change in guidance, the LHB re-categorised them as COVID-19 patients, capturing them in the confirmed COVID-19 category until the recovering category was introduced on 26 May."
"Hospital type","Data for acute hospitals are available from 1 April 2020, for field hospitals from 20 April 2020, for community hospitals from 23 April 2020 and mental health hospitals from 10 July 2020."
"Local Health Board","Guidance was issued to local health boards on the completion and submission of the data return. However, data collection may vary slightly between health boards."
".","The data item is not applicable."
Metadata:
"Title","NHS hospital admissions and hospitalisation by local health board, hospital type and date"
"Last update","14 July 2021"
"Next update","15 July 2021"
"Source 1","Digital Health and Care Wales (DHCW)"
"Contact email","kas.covid19@gov.wales"
"Designation","Management information"
"Lowest level of geographical disaggregation","Local health boards"
"Geographical coverage","Wales"
"Languages covered","English and Welsh"
"Data licensing","You may use and re-use this data free of charge in any format or medium, under the terms of the Open Government License - see http://www.nationalarchives.gov.uk/doc/open-government-licence"
"General description","In response to the coronavirus (COVID-19) pandemic, daily information on hospital admissions and hospitalisation has been collected specifically to support transparency and understanding of NHS activity and capacity. Figures show the number of admissions and people in hospital by hospital type, local health board and date. The data are taken from management information and are subject to change. They have not been not been subject to the same validation processes undertaken for official statistics releases."
"Data collection and calculation","Daily return from Digital Health and Care Wales (DHCW) at a hospital level and local health board (LHB) level. Data is submitted via a TEXT file and transferred to a SQL database. As the return is sourced from management information, hospital level data are not suitable for publication.

As of the week beginning May 10th, Monday's upload will only include Friday's data and Tuesday's upload will include Saturday, Sunday and Monday's data.  "
"Frequency of publication","Daily"
"Data reference periods","April 2020 onwards. Following further validation, data coverage prior to April 2020 was decided to not be suitable for publication. As the data collection was set up in response to the COVID-19 pandemic, not all health boards were able to provide all of the information in the first week of data collection."
"Revisions information","Historic data are subject to revision at any point as hospitals can re-submitted a return anytime, and therefore may differ to that previously published information."
"Statistical quality","Figures include data from acute hospitals from 1 April 2020, field hospitals from 20 April 2020, community hospitals from 23 April 2020, mental health units from 10 July, and exclude data from private hospitals. Mental health units' data are submitted each Friday, and the Friday position is used as proxy for the following week, unless there is a major change in circumstances. 

Data for Powys is only available from 23 April when community hospitals were included as it does not have acute hospitals. Prior to 10 July 2020, Cardiff and Vale and Cwm Taf Morgannwg health boards captured some mental health bed figures in their acute hospitals figures. 

From June 2020, hospitals started to close some of the additional surge capacity that was previously put in place for the COVID-19 pandemic. 

COVID-19 related hospitalisations include patients with confirmed, suspected and recovering from COVID-19. Recovering patients was a category introduced on 26 May to capture patients who were COVID-19 positive in hospital and who showed no symptoms for 14+ days but remained in hospital on a COVID-19 treatment pathway, often for rehabilitation. Aneurin Bevan started reporting recovering patients from 7 June, but these were captured in the confirmed COVID-19 category before. Cardiff and Vale classified recovering patients as non-COVID-19 patients between 1 May and 22 May. Following the change in guidance, Cardiff and Vale re-categorised these patients as COVID-19 patients, capturing them in the confirmed COVID-19 category until the recovering category was introduced on 26 May. 

Admissions are the number of patients admitted to hospital between 9am on the update date and 9am the day before. COVID-19 related admissions include COVID-19 suspected or confirmed patients. The health minister announced on 13 March that all non-urgent activity should stop to prepare for the pandemic. Following the re-introduction of elective procedures from June 2020, patients admitted for elective procedures suspected of having COVID-19 were initially captured in COVID-19 related admissions, even if they received a negative test later. This inflated the numbers of suspected cases in hospital at the time of reporting. From 29 June, patients admitted for elective procedures were only included in COVID-19 related admissions if they received a positive COVID-19 test result on arrival at the hospital. From 29 June, the guidance also changed to explicitly ask health boards to exclude transfers between acute and community hospitals from admissions figures. Prior to this, some transfers may have been captured as new admissions.  From 19 October 2020 specialist critical care beds and specialist acute beds have been included in these figures. These beds have been included in the data as they are part of the available bed stock, and may be used for COVID-19 patients in exceptional circumstances. From 13th November, only critical care beds that could be staffed should be included as available. Previously, all critical care beds had been included, regardless of whether they could be staffed. However, not all health boards implemented this change on that date. Following and update to guidance, more local health boards implemented this change from 4 December.

From 18 January, no patients occupying an invasive ventilated bed (critical care bed) should be counted as "recovering" COVID-19 patients. Any patient previously reported as "recovering" will now be counted under "confirmed". This resulted in an increase in the number of invasive ventilated beds occupied by "confirmed" COVID-19 patients and no invasive ventilated beds showing as occupied by "recovering" patients. This change had no impact on the total number of COVID-19 related patients.

From 1 February 2021, guidance was reiterated to health boards that patients who were already in hospital and contracted COVID-19, but have now recovered and are back on their original setting, should be reported as non-COVID-19. This may have affected a small number of patients who are in acute hospitals or mental health settings and may have resulted in a decrease in recovering patients and an increase in non-COVID-19 patients.

From 8 March 2021, Cardiff and Vale University health board aligned their data more closely to the national guidance for SITREP reporting. This change had a small impact on the hospitalisation figures, which resulted in a small increase in the number of confirmed COVID-19 patients and a small decrease in the number of recovering COVID-19 patients.

To ensure accurate and consistent reporting of Covid-19 recovering patients in the hospitalisations data, all health boards have been reminded to follow the national guidance for SITREP reporting, and were asked to ensure any necessary changes to their daily reporting were implemented 12 April 2021. Contrary to the guidance, some health boards were counting long stay patients who had fully recovered from COVID-19 in the COVID-19 recovering category, rather than the non-COVID-19 category, which inflated the number of COVID-19 recovering patients. This resulted in a step-change decrease in the number of recovering patients (a decrease of around 123 patients at the point of implementation). Whilst the impact was seen across most health boards it mainly impacted the Swansea Bay University Health Board."
"Weblinks","https://gov.wales/nhs-activity-and-capacity-during-coronavirus-covid-19-pandemic"
"Keywords","COVID-19, Coronavirus, NHS, patients, beds, hospital"
